state,district,year,basic_infra_index,digital_infra_index,learning_env_index,infrastructure_index,GER_primary,GPI,GPI_Category,PTR,PTR_Category,Retention_Rate,Dropout_Rate,infra_growth_pct,digital_infra_growth_pct,GER_growth_pct,GPI_growth_pct,PTR_change_pct,Retention_change_pct
ANDAMAN & NICOBAR ISLANDS,ANDAMANS,2023-24,1.359908822740681,1.6464486484285312,0.9397356879455224,1.0,31.83423119193247,1.0423889701534343,High Female Participation,1.973570330913428,Optimal,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANDAMAN & NICOBAR ISLANDS,MIDDLE AND NORTH ANDAMANS,2023-24,1.000299289188178,1.3558959672250268,0.9484124258258,1.0,19.037709487435773,1.128810226155359,High Female Participation,2.1136166525771225,Optimal,100.0,0.0,0.0,-17.65,-40.2,8.29,7.1,0.0
ANDAMAN & NICOBAR ISLANDS,NICOBARS,2023-24,1.0899665551839466,1.353901821741785,0.9044251731428952,1.0,29.585049217229617,1.085142613878246,High Female Participation,4.106763555058692,Optimal,100.0,0.0,0.0,-0.15,55.4,-3.87,94.3,0.0
ANDAMAN & NICOBAR ISLANDS,ANDAMANS,2024-25,1.3177983539094649,1.6426753659333193,0.9489132936114784,1.0,30.542234671324714,1.0620001881644556,High Female Participation,1.8402698088387583,Optimal,95.941486656869,4.058513343131011,0.0,21.33,3.24,-2.13,-55.19,-4.06
ANDAMAN & NICOBAR ISLANDS,MIDDLE AND NORTH ANDAMANS,2024-25,0.9793115560238848,1.384284722685264,0.9639169036493348,1.0,17.762773503701883,1.1356875905728014,High Female Participation,1.8710992315402608,Optimal,93.30310201142996,6.696897988570029,0.0,-15.73,-41.84,6.94,1.68,-2.75
ANDAMAN & NICOBAR ISLANDS,NICOBARS,2024-25,1.0037854889589906,1.3535884838424703,0.923178686764884,1.0,28.378012988727253,1.0875943000838222,High Female Participation,3.4288664525011474,Optimal,95.92011417780772,4.079885822192281,0.0,-2.22,59.76,-4.23,83.25,2.8
ANDHRA PRADESH,ANAKAPALLI,2023-24,1.2485920750097048,1.771240572578018,0.886292887705187,1.0,27.958259782989437,1.0665741859102378,High Female Participation,6.146432551632561,Optimal,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,ANANTAPUR,2023-24,1.137818546242893,1.7838133858047691,0.8971923674269467,1.0,33.444262016872955,0.9705942524833068,Low Female Participation,7.1903067747750615,Optimal,100.0,0.0,0.0,0.71,19.62,-9.0,16.98,0.0
ANDHRA PRADESH,ANNAMAYYA,2023-24,1.1369784670492935,1.732121817299334,0.9170488860851692,1.0,23.74526572833525,1.045963496686559,High Female Participation,6.787312999243771,Optimal,100.0,0.0,0.0,-2.9,-29.0,7.77,-5.6,0.0
ANDHRA PRADESH,ASR,2023-24,1.2948694347855731,1.6979312247451364,0.9064764643152836,1.0,23.052468319252807,1.133362964482509,High Female Participation,8.947886068186614,Optimal,100.0,0.0,0.0,-1.97,-2.92,8.36,31.83,0.0
ANDHRA PRADESH,BAPATLA,2023-24,1.2249595832584874,1.7105408266187994,0.905244321817028,1.0,23.500770958307655,1.068116038616067,High Female Participation,5.84398023503562,Optimal,100.0,0.0,0.0,0.74,1.94,-5.76,-34.69,0.0
ANDHRA PRADESH,CHITTOOR,2023-24,1.0541186671621454,1.699883891956926,0.8969186699842181,1.0,22.563446777152325,1.03416139671397,High Female Participation,6.1430240341121225,Optimal,100.0,0.0,0.0,-0.62,-3.99,-3.18,5.12,0.0
ANDHRA PRADESH,EAST GODAVARI,2023-24,1.1790170523391554,1.8564248581182736,0.8861846272561273,1.0,33.09504501101952,1.0208284424968046,High Female Participation,6.123817283295199,Optimal,100.0,0.0,0.0,9.21,46.68,-1.29,-0.31,0.0
